Date,Branch,Product,Opening Stock,Units Sold,Closing Stock,Inventory Value
2023-01-01,Port Harcourt,Product B,3808,1761,2047,23542547
2023-01-01,Port Harcourt,Product C,597,341,256,3255296
2023-01-01,Port Harcourt,Product D,4699,1322,3377,28745024
2023-01-01,Kano,Product A,2364,1029,1335,18491085
2023-01-01,Kano,Product B,2219,2043,176,1025904
2023-01-01,Kano,Product C,4725,4627,98,1412376
2023-01-01,Kano,Product D,4339,3879,460,3487260
2023-01-01,Ibadan,Product A,1203,741,462,2345574
2023-01-01,Ibadan,Product B,4012,3254,758,10183730
2023-01-01,Ibadan,Product C,3921,958,2963,27221081
2023-01-01,Ibadan,Product D,4186,3593,593,6611357
2023-02-01,Lagos,Product A,746,483,263,1124588
2023-02-01,Lagos,Product B,1551,725,826,11636688
2023-02-01,Lagos,Product C,579,355,224,2865856
2023-02-01,Lagos,Product D,3405,1491,1914,10898316
2023-02-01,Abuja,Product A,3933,1843,2090,27661150
2023-02-01,Abuja,Product B,3804,3224,580,8559060
2023-02-01,Abuja,Product C,4904,2554,2350,17253700
2023-02-01,Abuja,Product D,690,681,9,133803
2023-02-01,Port Harcourt,Product A,763,242,521,2353878
2023-02-01,Port Harcourt,Product B,3205,2427,778,9584182
2023-02-01,Port Harcourt,Product C,3702,1661,2041,10909145
2023-02-01,Port Harcourt,Product D,3700,360,3340,35928380
2023-02-01,Kano,Product A,3665,871,2794,27319732
2023-02-01,Kano,Product B,1389,773,616,6979280
2023-02-01,Kano,Product C,4198,2595,1603,5653781
2023-02-01,Kano,Product D,1904,313,1591,20773687
2023-02-01,Ibadan,Product A,1955,165,1790,23785520
2023-02-01,Ibadan,Product B,4502,319,4183,21157614
2023-02-01,Ibadan,Product C,2130,242,1888,15711936
2023-02-01,Ibadan,Product D,2825,943,1882,10949476
2023-03-01,Lagos,Product A,2884,2801,83,879053
2023-03-01,Lagos,Product B,1073,565,508,1494028
2023-03-01,Lagos,Product C,3519,2223,1296,2825280
2023-03-01,Lagos,Product D,1907,769,1138,9935878
2023-03-01,Abuja,Product A,3703,743,2960,11289440
2023-03-01,Abuja,Product B,1557,1198,359,3178945
2023-03-01,Abuja,Product C,4417,663,3754,31432242
2023-03-01,Abuja,Product D,2191,632,1559,8370271
2023-03-01,Port Harcourt,Product A,3037,1870,1167,15902709
2023-03-01,Port Harcourt,Product B,4389,1400,2989,35542199
2023-03-01,Port Harcourt,Product C,3042,2506,536,2854200
2023-03-01,Port Harcourt,Product D,4616,3859,757,4929584
2023-03-01,Kano,Product A,2152,130,2022,8769414
2023-03-01,Kano,Product B,4151,362,3789,32361849
2023-03-01,Kano,Product C,2522,2253,269,1987372
2023-03-01,Kano,Product D,4521,3869,652,6246160
2023-03-01,Ibadan,Product A,820,193,627,4211559
2023-03-01,Ibadan,Product B,4238,2940,1298,17487954
2023-03-01,Ibadan,Product C,2936,1701,1235,14873105
2023-03-01,Ibadan,Product D,1934,950,984,5983704
2023-04-01,Lagos,Product A,1971,1943,28,339360
2023-04-01,Lagos,Product B,4039,1975,2064,17135328
2023-04-01,Lagos,Product C,2002,1530,472,5341152
2023-04-01,Lagos,Product D,1282,905,377,5069142
2023-04-01,Abuja,Product A,857,345,512,2348544
2023-04-01,Abuja,Product B,2742,2672,70,756700
2023-04-01,Abuja,Product C,2891,2830,61,188673
2023-04-01,Abuja,Product D,2279,2121,158,1380604
2023-04-01,Port Harcourt,Product A,1493,855,638,2075414
2023-04-01,Port Harcourt,Product B,1361,1133,228,3319224
2023-04-01,Port Harcourt,Product C,3170,1779,1391,13058708
2023-04-01,Port Harcourt,Product D,1850,617,1233,6654501
2023-04-01,Kano,Product A,4645,465,4180,40010960
2023-04-01,Kano,Product B,718,174,544,6782048
2023-04-01,Kano,Product C,4283,3222,1061,8095430
2023-04-01,Kano,Product D,3771,3605,166,860710
2023-04-01,Ibadan,Product A,3749,254,3495,7601625
2023-04-01,Ibadan,Product B,2552,569,1983,27002511
2023-04-01,Ibadan,Product C,1618,769,849,11021718
2023-04-01,Ibadan,Product D,4303,4071,232,2217456
2023-05-01,Lagos,Product A,1058,184,874,9600890
2023-05-01,Lagos,Product B,2484,1892,592,2543824
2023-05-01,Lagos,Product C,4356,2386,1970,9146710
2023-05-01,Lagos,Product D,1897,1817,80,183600
2023-05-01,Abuja,Product A,1323,462,861,5871159
2023-05-01,Abuja,Product B,1517,1194,323,4569481
2023-05-01,Abuja,Product C,3701,789,2912,9525152
2023-05-01,Abuja,Product D,591,446,145,939020
2023-05-01,Port Harcourt,Product A,1757,1002,755,5938830
2023-05-01,Port Harcourt,Product B,1957,543,1414,19377456
2023-05-01,Port Harcourt,Product C,782,645,137,759117
2023-05-01,Port Harcourt,Product D,4121,2953,1168,3249376
2023-05-01,Kano,Product A,4783,942,3841,32260559
2023-05-01,Kano,Product B,3025,1918,1107,3163806
2023-05-01,Kano,Product C,538,124,414,6067170
2023-05-01,Kano,Product D,3591,3242,349,1851445
2023-05-01,Ibadan,Product A,2545,1634,911,5382188
2023-05-01,Ibadan,Product B,2138,287,1851,4186962
2023-05-01,Ibadan,Product C,3954,214,3740,8370120
2023-05-01,Ibadan,Product D,3261,887,2374,31194360
2023-06-01,Lagos,Product A,1017,325,692,2478744
2023-06-01,Lagos,Product B,1875,1582,293,1387648
2023-06-01,Lagos,Product C,860,525,335,3482660
2023-06-01,Lagos,Product D,1382,769,613,4466318
2023-06-01,Abuja,Product A,2052,1379,673,3629489
2023-06-01,Abuja,Product B,4937,3336,1601,14425010
2023-06-01,Abuja,Product C,1489,575,914,5028828
2023-06-01,Abuja,Product D,1367,830,537,3919026
2023-06-01,Port Harcourt,Product A,1922,130,1792,15389696
2023-06-01,Port Harcourt,Product B,3090,149,2941,24633816
2023-06-01,Port Harcourt,Product C,2242,1979,263,1474378
2023-06-01,Port Harcourt,Product D,1040,773,267,1752054
2023-06-01,Kano,Product A,3522,279,3243,10063029
2023-06-01,Kano,Product B,2290,1783,507,3518580
2023-06-01,Kano,Product C,4592,934,3658,50019492
2023-06-01,Kano,Product D,4892,4762,130,625170
2023-06-01,Ibadan,Product A,2563,488,2075,24543100
2023-06-01,Ibadan,Product B,3157,2684,473,6341984
2023-06-01,Ibadan,Product C,3683,2876,807,11812866
2023-06-01,Ibadan,Product D,1588,780,808,3936576
2023-07-01,Lagos,Product A,3104,2829,275,2722225
2023-07-01,Lagos,Product B,1053,443,610,1396290
2023-07-01,Lagos,Product C,4177,1666,2511,26044092
2023-07-01,Lagos,Product D,2404,2162,242,2813250
2023-07-01,Abuja,Product A,608,219,389,912983
2023-07-01,Abuja,Product B,1516,732,784,4604432
2023-07-01,Abuja,Product C,4010,3201,809,4845910
2023-07-01,Abuja,Product D,1150,222,928,3946784
2023-07-01,Port Harcourt,Product A,3568,2142,1426,9780934
2023-07-01,Port Harcourt,Product B,2154,721,1433,11687548
2023-07-01,Port Harcourt,Product C,2174,255,1919,11322100
2023-07-01,Port Harcourt,Product D,4135,3127,1008,7444080
2023-07-01,Kano,Product A,1599,669,930,6697860
2023-07-01,Kano,Product B,824,633,191,2859652
2023-07-01,Kano,Product C,3898,2754,1144,7694544
2023-07-01,Kano,Product D,694,334,360,5042520
2023-07-01,Ibadan,Product A,3213,1503,1710,10206990
2023-07-01,Ibadan,Product B,2186,321,1865,24049175
2023-07-01,Ibadan,Product C,2534,1011,1523,18218126
2023-07-01,Ibadan,Product D,3625,2235,1390,10103910
2023-08-01,Lagos,Product A,2003,1005,998,12293364
2023-08-01,Lagos,Product B,549,133,416,4182880
2023-08-01,Lagos,Product C,1073,297,776,2213928
2023-08-01,Lagos,Product D,1659,518,1141,4629037
2023-08-01,Abuja,Product A,1251,455,796,9320364
2023-08-01,Abuja,Product B,4996,1774,3222,18916362
2023-08-01,Abuja,Product C,4656,740,3916,35177428
2023-08-01,Abuja,Product D,4326,2651,1675,7854075
2023-08-01,Port Harcourt,Product A,2118,601,1517,13572599
2023-08-01,Port Harcourt,Product B,1945,1340,605,3677795
2023-08-01,Port Harcourt,Product C,2983,1268,1715,19626460
2023-08-01,Port Harcourt,Product D,4172,4063,109,1353017
2023-08-01,Kano,Product A,2149,1213,936,13852800
2023-08-01,Kano,Product B,4441,755,3686,29086226
2023-08-01,Kano,Product C,3762,1647,2115,10042020
2023-08-01,Kano,Product D,4356,3715,641,5720925
2023-08-01,Ibadan,Product A,4639,3650,989,14297973
2023-08-01,Ibadan,Product B,1776,1725,51,504747
2023-08-01,Ibadan,Product C,662,490,172,1548344
2023-08-01,Ibadan,Product D,1181,714,467,5487717
2023-09-01,Lagos,Product A,4900,1351,3549,39241293
2023-09-01,Lagos,Product B,1939,626,1313,10809929
2023-09-01,Lagos,Product C,4298,2605,1693,15966683
2023-09-01,Lagos,Product D,2820,1636,1184,13272640
2023-09-01,Abuja,Product A,4439,689,3750,27971250
2023-09-01,Abuja,Product B,1619,1564,55,532840
2023-09-01,Abuja,Product C,2103,416,1687,8613822
2023-09-01,Abuja,Product D,534,106,428,4366884
2023-09-01,Port Harcourt,Product A,3565,2112,1453,12536484
2023-09-01,Port Harcourt,Product B,3906,1716,2190,31010400
2023-09-01,Port Harcourt,Product C,3556,1673,1883,18867660
2023-09-01,Port Harcourt,Product D,3021,2725,296,3444848
2023-09-01,Kano,Product A,1083,518,565,1489340
2023-09-01,Kano,Product B,1519,888,631,7108846
2023-09-01,Kano,Product C,1830,497,1333,19328500
2023-09-01,Kano,Product D,4074,4020,54,333828
2023-09-01,Ibadan,Product A,3355,2187,1168,15905824
2023-09-01,Ibadan,Product B,4502,3116,1386,18586260
2023-09-01,Ibadan,Product C,972,766,206,1712478
2023-09-01,Ibadan,Product D,3973,3113,860,5196980
2023-10-01,Lagos,Product A,2485,2056,429,1100385
2023-10-01,Lagos,Product B,3460,2684,776,10534976
2023-10-01,Lagos,Product C,731,251,480,3014880
2023-10-01,Lagos,Product D,4231,1307,2924,18029384
2023-10-01,Abuja,Product A,2526,2468,58,745648
2023-10-01,Abuja,Product B,1822,125,1697,6638664
2023-10-01,Abuja,Product C,1256,887,369,3142035
2023-10-01,Abuja,Product D,1158,486,672,6000288
2023-10-01,Port Harcourt,Product A,1858,1799,59,530587
2023-10-01,Port Harcourt,Product B,2571,1337,1234,12589268
2023-10-01,Port Harcourt,Product C,4867,3235,1632,18934464
2023-10-01,Port Harcourt,Product D,3022,1785,1237,17723736
2023-10-01,Kano,Product A,1228,323,905,11242815
2023-10-01,Kano,Product B,3321,684,2637,16895259
2023-10-01,Kano,Product C,2216,1730,486,6537672
2023-10-01,Kano,Product D,3023,126,2897,13786823
2023-10-01,Ibadan,Product A,4528,112,4416,15840192
2023-10-01,Ibadan,Product B,1072,892,180,2413440
2023-10-01,Ibadan,Product C,3922,2250,1672,14762088
2023-10-01,Ibadan,Product D,2862,1865,997,4780615
2023-11-01,Lagos,Product A,1945,867,1078,5447134
2023-11-01,Lagos,Product B,1600,505,1095,10917150
2023-11-01,Lagos,Product C,1990,1129,861,3276966
2023-11-01,Lagos,Product D,4191,2422,1769,9697658
2023-11-01,Abuja,Product A,2020,511,1509,4475694
2023-11-01,Abuja,Product B,1996,1757,239,3450682
2023-11-01,Abuja,Product C,2071,631,1440,12523680
2023-11-01,Abuja,Product D,4110,2667,1443,17647890
2023-11-01,Port Harcourt,Product A,1394,440,954,3154878
2023-11-01,Port Harcourt,Product B,2901,451,2450,20060600
2023-11-01,Port Harcourt,Product C,1521,666,855,2609460
2023-11-01,Port Harcourt,Product D,3302,221,3081,35724195
2023-11-01,Kano,Product A,2423,2057,366,3641334
2023-11-01,Kano,Product B,1325,119,1206,3618000
2023-11-01,Kano,Product C,2679,129,2550,32895000
2023-11-01,Kano,Product D,842,199,643,3509494
2023-11-01,Ibadan,Product A,4778,159,4619,37663326
2023-11-01,Ibadan,Product B,4760,2277,2483,24733163
2023-11-01,Ibadan,Product C,4376,2860,1516,18043432
2023-11-01,Ibadan,Product D,4018,1478,2540,20507960
2023-12-01,Lagos,Product A,3310,1391,1919,11370075
2023-12-01,Lagos,Product B,3459,2824,635,5415280
2023-12-01,Lagos,Product C,3600,2601,999,2934063
2023-12-01,Lagos,Product D,3416,1452,1964,7150924
2023-12-01,Abuja,Product A,525,333,192,2580672
2023-12-01,Abuja,Product B,3791,3070,721,3082275
2023-12-01,Abuja,Product C,710,225,485,5186105
2023-12-01,Abuja,Product D,2789,1118,1671,13428156
2023-12-01,Port Harcourt,Product A,4202,3992,210,2191560
2023-12-01,Port Harcourt,Product B,3884,2804,1080,5485320
2023-12-01,Port Harcourt,Product C,525,426,99,720522
2023-12-01,Port Harcourt,Product D,636,468,168,461832
2023-12-01,Kano,Product A,3166,2876,290,2690910
2023-12-01,Kano,Product B,2413,2084,329,2814924
2023-12-01,Kano,Product C,1166,813,353,3180530
2023-12-01,Kano,Product D,4400,922,3478,48796340
2023-12-01,Ibadan,Product A,3652,1303,2349,28063503
2023-12-01,Ibadan,Product B,2098,1558,540,2346300
2023-12-01,Ibadan,Product C,4760,4233,527,1328040
2023-12-01,Ibadan,Product D,1547,1119,428,1466328
2024-01-01,Lagos,Product A,2968,2856,112,1230880
2024-01-01,Lagos,Product B,4324,1476,2848,26517728
2024-01-01,Lagos,Product C,1447,1087,360,4628160
2024-01-01,Lagos,Product D,4929,2073,2856,17098872
2024-01-01,Abuja,Product A,2233,798,1435,20579335
2024-01-01,Abuja,Product B,1232,316,916,8358500
2024-01-01,Abuja,Product C,739,264,475,3490775
2024-01-01,Abuja,Product D,3641,3238,403,2656979
2024-01-01,Port Harcourt,Product A,2305,1155,1150,14846500
2024-01-01,Port Harcourt,Product B,4401,1108,3293,42489579
2024-01-01,Port Harcourt,Product C,1612,1194,418,5174840
2024-01-01,Port Harcourt,Product D,4530,840,3690,49202460
2024-01-01,Kano,Product A,3226,1016,2210,25273560
2024-01-01,Kano,Product B,1029,759,270,2058210
2024-01-01,Kano,Product C,3588,3038,550,7794600
2024-01-01,Kano,Product D,3626,2778,848,10616960
2024-01-01,Ibadan,Product A,4079,3411,668,3889764
2024-01-01,Ibadan,Product B,2331,1161,1170,4557150
2024-01-01,Ibadan,Product C,2883,459,2424,9269376
2024-01-01,Ibadan,Product D,1230,796,434,6133722
2024-02-01,Lagos,Product A,2041,1624,417,1627134
2024-02-01,Lagos,Product B,3512,621,2891,20624394
2024-02-01,Lagos,Product C,3614,2463,1151,16198023
2024-02-01,Lagos,Product D,513,259,254,765302
2024-02-01,Abuja,Product A,4887,1655,3232,27016288
2024-02-01,Abuja,Product B,3970,1409,2561,37482796
2024-02-01,Abuja,Product C,3490,3366,124,1627996
2024-02-01,Abuja,Product D,1534,1164,370,4763380
2024-02-01,Port Harcourt,Product A,2319,536,1783,15112708
2024-02-01,Port Harcourt,Product B,575,375,200,1909200
2024-02-01,Port Harcourt,Product C,3088,692,2396,16443748
2024-02-01,Port Harcourt,Product D,2293,2147,146,1918440
2024-02-01,Kano,Product A,4233,1307,2926,34684804
2024-02-01,Kano,Product B,2821,697,2124,30243636
2024-02-01,Kano,Product C,781,713,68,492660
2024-02-01,Kano,Product D,3030,2157,873,11595186
2024-02-01,Ibadan,Product A,1511,660,851,11552325
2024-02-01,Ibadan,Product B,4418,1867,2551,25790610
2024-02-01,Ibadan,Product C,2887,1642,1245,3688935
2024-02-01,Ibadan,Product D,3229,725,2504,34412472
2024-03-01,Lagos,Product A,2225,1021,1204,16223900
2024-03-01,Lagos,Product B,930,894,36,177588
2024-03-01,Lagos,Product C,4493,3309,1184,8169600
2024-03-01,Lagos,Product D,1804,144,1660,18221820
2024-03-01,Abuja,Product A,3713,1482,2231,19902751
2024-03-01,Abuja,Product B,4378,2953,1425,20539950
2024-03-01,Abuja,Product C,3706,1701,2005,6367880
2024-03-01,Abuja,Product D,4824,2418,2406,15942156
2024-03-01,Port Harcourt,Product A,2098,1535,563,6180614
2024-03-01,Port Harcourt,Product B,3725,498,3227,13372688
2024-03-01,Port Harcourt,Product C,3149,2477,672,1939392
2024-03-01,Port Harcourt,Product D,2990,1974,1016,12928600
2024-03-01,Kano,Product A,1840,1282,558,2373174
2024-03-01,Kano,Product B,4119,2950,1169,11577776
2024-03-01,Kano,Product C,2884,693,2191,11910276
2024-03-01,Kano,Product D,2286,901,1385,19455095
2024-03-01,Ibadan,Product A,574,285,289,4015366
2024-03-01,Ibadan,Product B,1335,402,933,7621677
2024-03-01,Ibadan,Product C,3998,2883,1115,5302940
2024-03-01,Ibadan,Product D,961,198,763,5970475
2024-04-01,Lagos,Product A,4381,1571,2810,8033790
2024-04-01,Lagos,Product B,1461,1155,306,3871206
2024-04-01,Lagos,Product C,3272,2530,742,6757394
2024-04-01,Lagos,Product D,1717,1384,333,4608054
2024-04-01,Abuja,Product A,3809,1103,2706,6916536
2024-04-01,Abuja,Product B,1473,593,880,7478240
2024-04-01,Abuja,Product C,4502,2579,1923,25520133
2024-04-01,Abuja,Product D,1913,1436,477,6777693
2024-04-01,Port Harcourt,Product A,3575,3277,298,3973532
2024-04-01,Port Harcourt,Product B,1234,1049,185,2340990
2024-04-01,Port Harcourt,Product C,3630,1227,2403,29701080
2024-04-01,Port Harcourt,Product D,4146,1604,2542,5566980
2024-04-01,Kano,Product A,1483,338,1145,3839185
2024-04-01,Kano,Product B,1499,1101,398,4978184
2024-04-01,Kano,Product C,4675,1942,2733,6496341
2024-04-01,Kano,Product D,4428,2342,2086,27881476
2024-04-01,Ibadan,Product A,1274,470,804,6665160
2024-04-01,Ibadan,Product B,4466,3652,814,5606832
2024-04-01,Ibadan,Product C,1525,303,1222,8954816
2024-04-01,Ibadan,Product D,1020,830,190,2053140
2024-05-01,Lagos,Product A,2014,930,1084,14612320
2024-05-01,Lagos,Product B,661,503,158,1755380
2024-05-01,Lagos,Product C,4894,4442,452,4521808
2024-05-01,Lagos,Product D,1023,631,392,4539360
2024-05-01,Abuja,Product A,4915,1116,3799,54496655
2024-05-01,Abuja,Product B,2199,580,1619,8030240
2024-05-01,Abuja,Product C,1974,110,1864,20668032
2024-05-01,Abuja,Product D,4163,3378,785,5611965
2024-05-01,Port Harcourt,Product A,1507,180,1327,5453970
2024-05-01,Port Harcourt,Product B,2189,760,1429,4912902
2024-05-01,Port Harcourt,Product C,2603,243,2360,7990960
2024-05-01,Port Harcourt,Product D,1521,1136,385,2653035
2024-05-01,Kano,Product A,3478,2329,1149,5527839
2024-05-01,Kano,Product B,3965,2795,1170,2341170
2024-05-01,Kano,Product C,2534,1331,1203,3315468
2024-05-01,Kano,Product D,4755,2503,2252,28823348
2024-05-01,Ibadan,Product A,4875,3744,1131,4853121
2024-05-01,Ibadan,Product B,4517,2663,1854,19583802
2024-05-01,Ibadan,Product C,3384,2582,802,8676036
2024-05-01,Ibadan,Product D,4682,1819,2863,37994873
2024-06-01,Lagos,Product A,1311,191,1120,6590080
2024-06-01,Lagos,Product B,800,292,508,2195068
2024-06-01,Lagos,Product C,2955,981,1974,8286852
2024-06-01,Lagos,Product D,2269,1570,699,4574256
2024-06-01,Abuja,Product A,1552,1374,178,1586692
2024-06-01,Abuja,Product B,1109,663,446,2754942
2024-06-01,Abuja,Product C,2635,1663,972,12290940
2024-06-01,Abuja,Product D,1837,919,918,8695296
2024-06-01,Port Harcourt,Product A,1182,620,562,7353208
2024-06-01,Port Harcourt,Product B,3984,3951,33,441474
2024-06-01,Port Harcourt,Product C,1673,1197,476,2540888
2024-06-01,Port Harcourt,Product D,1078,744,334,4677336
2024-06-01,Kano,Product A,2706,2693,13,174408
2024-06-01,Kano,Product B,2078,1563,515,4169955
2024-06-01,Kano,Product C,4689,1443,3246,28811496
2024-06-01,Kano,Product D,1757,747,1010,15056070
2024-06-01,Ibadan,Product A,4052,1652,2400,5817600
2024-06-01,Ibadan,Product B,2527,417,2110,13556750
2024-06-01,Ibadan,Product C,1520,1188,332,1262264
2024-06-01,Ibadan,Product D,4992,3432,1560,4804800
2024-07-01,Lagos,Product A,3198,2722,476,1645532
2024-07-01,Lagos,Product B,3472,1466,2006,29582482
2024-07-01,Lagos,Product C,2738,699,2039,11618222
2024-07-01,Lagos,Product D,2741,140,2601,9374004
2024-07-01,Abuja,Product A,3589,1010,2579,21155537
2024-07-01,Abuja,Product B,1360,352,1008,4918032
2024-07-01,Abuja,Product C,4812,2611,2201,25635047
2024-07-01,Abuja,Product D,4510,882,3628,38696248
2024-07-01,Port Harcourt,Product A,3358,2969,389,4424486
2024-07-01,Port Harcourt,Product B,2810,2359,451,2904440
2024-07-01,Port Harcourt,Product C,1311,198,1113,5339061
2024-07-01,Port Harcourt,Product D,3105,1695,1410,6993600
2024-07-01,Kano,Product A,3327,3136,191,2503055
2024-07-01,Kano,Product B,4855,4619,236,2771112
2024-07-01,Kano,Product C,3798,2053,1745,20423480
2024-07-01,Kano,Product D,1545,630,915,1971825
2024-07-01,Ibadan,Product A,4707,1373,3334,42585182
2024-07-01,Ibadan,Product B,1535,392,1143,9379458
2024-07-01,Ibadan,Product C,2690,316,2374,32962990
2024-07-01,Ibadan,Product D,3532,2997,535,7885365
2024-08-01,Lagos,Product A,2540,1813,727,9871933
2024-08-01,Lagos,Product B,4250,1599,2651,24365341
2024-08-01,Lagos,Product C,3399,3370,29,280662
2024-08-01,Lagos,Product D,4614,2449,2165,14113635
2024-08-01,Abuja,Product A,4004,2232,1772,24402212
2024-08-01,Abuja,Product B,2374,1350,1024,12711936
2024-08-01,Abuja,Product C,1212,725,487,4217420
2024-08-01,Abuja,Product D,3061,469,2592,32135616
2024-08-01,Port Harcourt,Product A,1151,257,894,12479346
2024-08-01,Port Harcourt,Product B,2466,483,1983,9330015
2024-08-01,Port Harcourt,Product C,970,186,784,11117120
2024-08-01,Port Harcourt,Product D,2841,2369,472,4754928
2024-08-01,Kano,Product A,587,585,2,17892
2024-08-01,Kano,Product B,4667,1217,3450,34010100
2024-08-01,Kano,Product C,4578,4318,260,3438500
2024-08-01,Kano,Product D,4861,1121,3740,32324820
2024-08-01,Ibadan,Product A,613,294,319,4536499
2024-08-01,Ibadan,Product B,559,465,94,842428
2024-08-01,Ibadan,Product C,4877,2926,1951,11707951
2024-08-01,Ibadan,Product D,4826,446,4380,52345380
2024-09-01,Lagos,Product A,4175,4051,124,590364
2024-09-01,Lagos,Product B,4788,1943,2845,13838080
2024-09-01,Lagos,Product C,1115,475,640,2677760
2024-09-01,Lagos,Product D,4708,2994,1714,4857476
2024-09-01,Abuja,Product A,3962,2129,1833,15050763
2024-09-01,Abuja,Product B,1896,864,1032,3978360
2024-09-01,Abuja,Product C,3268,2881,387,2357604
2024-09-01,Abuja,Product D,4916,1065,3851,26001952
2024-09-01,Port Harcourt,Product A,2950,2078,872,5937448
2024-09-01,Port Harcourt,Product B,2668,972,1696,3453056
2024-09-01,Port Harcourt,Product C,3724,990,2734,19121596
2024-09-01,Port Harcourt,Product D,4723,390,4333,41536138
2024-09-01,Kano,Product A,4499,571,3928,30748384
2024-09-01,Kano,Product B,548,415,133,1269086
2024-09-01,Kano,Product C,3191,1322,1869,14574462
2024-09-01,Kano,Product D,1377,110,1267,9792643
2024-09-01,Ibadan,Product A,2025,923,1102,8604416
2024-09-01,Ibadan,Product B,572,151,421,3813418
2024-09-01,Ibadan,Product C,4530,1718,2812,9527056
2024-09-01,Ibadan,Product D,4834,4313,521,2353878
2024-10-01,Lagos,Product A,3864,607,3257,32521145
2024-10-01,Lagos,Product B,556,179,377,5506462
2024-10-01,Lagos,Product C,2549,1026,1523,14789853
2024-10-01,Lagos,Product D,3738,1633,2105,14530815
2024-10-01,Abuja,Product A,3485,1854,1631,8128904
2024-10-01,Abuja,Product B,4894,2307,2587,9778860
2024-10-01,Abuja,Product C,4092,2788,1304,11994192
2024-10-01,Abuja,Product D,1825,386,1439,11217005
2024-10-01,Port Harcourt,Product A,4055,123,3932,31003820
2024-10-01,Port Harcourt,Product B,2125,326,1799,9183895
2024-10-01,Port Harcourt,Product C,2833,264,2569,10764110
2024-10-01,Port Harcourt,Product D,3732,1824,1908,27070704
2024-10-01,Kano,Product A,3213,229,2984,13803984
2024-10-01,Kano,Product B,2130,2042,88,866976
2024-10-01,Kano,Product C,2677,586,2091,18607809
2024-10-01,Kano,Product D,4506,4159,347,4569643
2024-10-01,Ibadan,Product A,1543,765,778,11129290
2024-10-01,Ibadan,Product B,3775,2155,1620,22508280
2024-10-01,Ibadan,Product C,3685,638,3047,11569459
2024-10-01,Ibadan,Product D,1383,143,1240,5041840
2024-11-01,Lagos,Product A,1774,804,970,9886240
2024-11-01,Lagos,Product B,611,342,269,767188
2024-11-01,Lagos,Product C,3302,1859,1443,17001426
2024-11-01,Lagos,Product D,565,322,243,2397681
2024-11-01,Abuja,Product A,2871,1255,1616,16096976
2024-11-01,Abuja,Product B,1176,978,198,1199682
2024-11-01,Abuja,Product C,1749,1593,156,1618656
2024-11-01,Abuja,Product D,2030,610,1420,9380520
2024-11-01,Port Harcourt,Product A,1442,639,803,10827652
2024-11-01,Port Harcourt,Product B,2526,1857,669,3512250
2024-11-01,Port Harcourt,Product C,4382,944,3438,46368306
2024-11-01,Port Harcourt,Product D,4615,1584,3031,15430821
2024-11-01,Kano,Product A,1718,569,1149,4564977
2024-11-01,Kano,Product B,1583,921,662,1739736
2024-11-01,Kano,Product C,2743,887,1856,8157120
2024-11-01,Kano,Product D,3992,172,3820,46222000
2024-11-01,Ibadan,Product A,2135,286,1849,5240066
2024-11-01,Ibadan,Product B,3615,1768,1847,19580047
2024-11-01,Ibadan,Product C,3010,2967,43,532168
2024-11-01,Ibadan,Product D,2395,1008,1387,10412209
2024-12-01,Lagos,Product A,3990,2062,1928,5793640
2024-12-01,Lagos,Product B,4676,3598,1078,13527822
2024-12-01,Lagos,Product C,923,411,512,1947136
2024-12-01,Lagos,Product D,2705,1589,1116,7361136
2024-12-01,Abuja,Product A,3375,3014,361,3194489
2024-12-01,Abuja,Product B,2523,1410,1113,3093027
2024-12-01,Abuja,Product C,1988,183,1805,3624440
2024-12-01,Abuja,Product D,927,776,151,2144502
2024-12-01,Port Harcourt,Product A,3134,968,2166,14455884
2024-12-01,Port Harcourt,Product B,4367,2395,1972,23539764
2024-12-01,Port Harcourt,Product C,1325,982,343,1724604
2024-12-01,Port Harcourt,Product D,2566,2112,454,3612024
2024-12-01,Kano,Product A,3238,1346,1892,7240684
2024-12-01,Kano,Product B,1293,127,1166,15378374
2024-12-01,Kano,Product C,1567,778,789,6238623
2024-12-01,Kano,Product D,3460,3143,317,4678603
2024-12-01,Ibadan,Product A,4832,3144,1688,9964264
2024-12-01,Ibadan,Product B,2760,960,1800,20831400
2024-12-01,Ibadan,Product C,3646,457,3189,11933238
2024-12-01,Ibadan,Product D,1568,1389,179,2535714
2025-01-01,Lagos,Product A,1485,184,1301,15104610
2025-01-01,Lagos,Product B,2060,495,1565,21197925
2025-01-01,Lagos,Product C,4151,3890,261,943776
2025-01-01,Lagos,Product D,1113,1064,49,536795
2025-01-01,Abuja,Product A,3309,1334,1975,27420900
2025-01-01,Abuja,Product B,4384,1754,2630,28248830
2025-01-01,Abuja,Product C,1758,189,1569,6423486
2025-01-01,Abuja,Product D,2070,956,1114,12275166
2025-01-01,Port Harcourt,Product A,2568,2395,173,1330370
2025-01-01,Port Harcourt,Product B,3498,1936,1562,19242278
2025-01-01,Port Harcourt,Product C,1461,993,468,1455012
2025-01-01,Port Harcourt,Product D,4455,3532,923,9766263
2025-01-01,Kano,Product A,4627,279,4348,20587780
2025-01-01,Kano,Product B,2745,628,2117,14279165
2025-01-01,Kano,Product C,872,679,193,578228
2025-01-01,Kano,Product D,2058,1616,442,3762304
2025-01-01,Ibadan,Product A,4555,4461,94,978728
2025-01-01,Ibadan,Product B,1114,269,845,7750340
