Date,Year,Month,MDA,LGA,Revenue Stream,Collection Channel,Collector,Amount,Revenue Target,Expected Amount,Remitted Amount,Variance
13/06/2022,2022,6,Katsina State Internal Revenue Service,Charanchi,Tenement Rates,Bank Transfer,Collection Agent North,16250597.51,19426462.59,16050084.78,16053344.76,-3259.98
13/06/2022,2022,6,Katsina Urban Planning Authority,Charanchi,Licensing Fees,Cash Office,Collection Agent North,4344855.07,5138538.51,4520508.43,3810709.93,709798.5
13/06/2022,2022,6,State Water Board,Charanchi,Court Fines and Penalties,Collection Agent,Collection Agent North,8184916.62,10509486.28,10065844.04,7780210.17,2285633.87
13/06/2022,2022,6,Ministry of Works and Housing,Jibia,PAYE Tax,Cash Office,MDA Desk Officer,6535387.85,7620412.97,7065714.27,5595143.55,1470570.72
13/06/2022,2022,6,Katsina Urban Planning Authority,Jibia,Road Taxes,Cash Office,Collection Agent North,8920769.33,9642767.96,8301367.88,7627277.09,674090.79
13/06/2022,2022,6,Ministry of Works and Housing,Jibia,Market Fees,Cash Office,Collection Agent North,21461173.78,28787911.92,27614094.42,19081143.39,8532951.03
13/06/2022,2022,6,Katsina Urban Planning Authority,Jibia,Land Use Charges,Online Portal,Collection Agent South,7706176.54,8724982.9,8147862.95,6621305.06,1526557.89
13/06/2022,2022,6,State Water Board,Jibia,Business Premises Levy,Cash Office,IRS Team B,18851737.99,20546901.21,17274091.66,18136636.92,-862545.26
13/06/2022,2022,6,Katsina Urban Planning Authority,Jibia,Motor Vehicle Registration,Online Portal,MDA Desk Officer,12340761.64,14225449.73,12150956.02,12015247.26,135708.76
13/06/2022,2022,6,Katsina State Internal Revenue Service,Jibia,Development Levy,Collection Agent,Collection Agent North,4087085.42,4869838.64,4422151.84,3823665.54,598486.3
13/06/2022,2022,6,Ministry of Lands and Survey,Jibia,Tenement Rates,Online Portal,IRS Team A,4308357.65,5700393.6,4927307.45,3816756.22,1110551.23
13/06/2022,2022,6,Ministry of Lands and Survey,Jibia,Licensing Fees,Collection Agent,IRS Team B,13301555.45,16389910.9,14146101.15,11475754.33,2670346.82
13/06/2022,2022,6,Ministry of Agriculture,Jibia,Court Fines and Penalties,Cash Office,IRS Team B,18535357.12,19687028.31,17380226.15,17255598.49,124627.66
13/06/2022,2022,6,Ministry of Lands and Survey,Batsari,PAYE Tax,Cash Office,Collection Agent North,16406052.44,21276734.97,20534340.71,13956276.96,6578063.75
13/06/2022,2022,6,Ministry of Transport,Batsari,Road Taxes,Online Portal,Collection Agent South,9369585.9,12594815.04,12451703.2,9258843.9,3192859.3
13/06/2022,2022,6,Ministry of Transport,Batsari,Market Fees,Online Portal,IRS Team A,20310678.13,25761050.73,24956820.03,18703862.51,6252957.52
13/06/2022,2022,6,Ministry of Health,Batsari,Land Use Charges,Collection Agent,Collection Agent South,15755326.42,21257073.52,17752265.09,15259148.23,2493116.86
13/06/2022,2022,6,Ministry of Education,Batsari,Business Premises Levy,Collection Agent,IRS Team B,13202569.3,16541370.63,15715794.83,12987325.16,2728469.67
13/06/2022,2022,6,Ministry of Commerce and Industry,Batsari,Motor Vehicle Registration,Cash Office,Collection Agent North,8985523.48,9439796.63,8965892.42,8659036.19,306856.23
13/06/2022,2022,6,Ministry of Transport,Batsari,Development Levy,Collection Agent,IRS Team B,18260963.3,21430913.15,20731307.21,16278457.85,4452849.36
13/06/2022,2022,6,Ministry of Commerce and Industry,Batsari,Tenement Rates,Online Portal,Collection Agent South,8648119.28,9268946.15,7523524.93,7446129.32,77395.61
13/06/2022,2022,6,Ministry of Health,Batsari,Licensing Fees,POS,IRS Team B,11194880.02,12715451.62,11278669.45,10941445.44,337224.01
13/06/2022,2022,6,Ministry of Education,Batsari,Court Fines and Penalties,POS,IRS Team A,7099994.84,8141577.56,6612856.38,6618715.43,-5859.05
13/06/2022,2022,6,Ministry of Health,Rimi,PAYE Tax,Online Portal,MDA Desk Officer,13437636.43,14582416.02,13100171.46,13181077.77,-80906.31
13/06/2022,2022,6,Ministry of Health,Rimi,Road Taxes,Online Portal,Collection Agent North,20679100.04,22887039.74,19037431.01,18303243.49,734187.52
13/06/2022,2022,6,Katsina State Internal Revenue Service,Rimi,Market Fees,Bank Transfer,MDA Desk Officer,22280051.7,25099536.93,22177749.7,22012611.06,165138.64
13/06/2022,2022,6,Ministry of Agriculture,Rimi,Land Use Charges,Bank Transfer,MDA Desk Officer,3867380.59,4851954.12,4533601.67,3632831.94,900769.73
13/06/2022,2022,6,Ministry of Transport,Rimi,Business Premises Levy,POS,Collection Agent South,11266008.12,12947088.7,11186779.51,10584088.23,602691.28
13/06/2022,2022,6,Katsina Urban Planning Authority,Rimi,Motor Vehicle Registration,Collection Agent,Collection Agent North,19599182.28,23518036.78,18958443.38,16709215.61,2249227.77
13/06/2022,2022,6,Ministry of Lands and Survey,Rimi,Development Levy,Cash Office,MDA Desk Officer,7234284.85,8017562.34,6766960.33,6682890.29,84070.04
13/06/2022,2022,6,Katsina State Internal Revenue Service,Rimi,Tenement Rates,Bank Transfer,Collection Agent South,5134118.74,5759356.47,4977853.01,5035830.56,-57977.55
13/06/2022,2022,6,Ministry of Transport,Rimi,Licensing Fees,Online Portal,IRS Team A,11590919.05,14893092.74,14219712.7,10017440.86,4202271.84
13/06/2022,2022,6,Katsina State Internal Revenue Service,Rimi,Court Fines and Penalties,Bank Transfer,IRS Team B,9697015.6,10831821.45,9374936.92,8708514.46,666422.46
13/06/2022,2022,6,Ministry of Health,Kusada,PAYE Tax,POS,IRS Team B,9296274.37,11111439.29,10569363.99,8646022.43,1923341.56
13/06/2022,2022,6,Ministry of Lands and Survey,Kusada,Road Taxes,Online Portal,MDA Desk Officer,12946861.37,16436458.44,13216711.81,11271308.79,1945403.02
13/06/2022,2022,6,Ministry of Education,Kusada,Market Fees,Collection Agent,IRS Team A,21297319.2,25855877.49,23759428.72,18780505.06,4978923.66
13/06/2022,2022,6,Ministry of Education,Kusada,Land Use Charges,Cash Office,IRS Team B,13787979.79,15969244.31,13196117.26,12253305.6,942811.66
13/06/2022,2022,6,Ministry of Works and Housing,Kusada,Business Premises Levy,Collection Agent,Collection Agent North,17077191.98,19283038.01,17236757.82,16216583.26,1020174.56
13/06/2022,2022,6,Ministry of Health,Kusada,Motor Vehicle Registration,Bank Transfer,IRS Team B,14525232.23,19344202.33,16935151.76,13517253.17,3417898.59
13/06/2022,2022,6,Ministry of Health,Kusada,Development Levy,Cash Office,IRS Team B,12223725.5,14348489.7,13755888.82,11002344.99,2753543.83
13/06/2022,2022,6,Ministry of Commerce and Industry,Kusada,Tenement Rates,Collection Agent,Collection Agent North,4573296.13,5498071.12,5248668.83,4285514.65,963154.18
13/06/2022,2022,6,Ministry of Lands and Survey,Kusada,Licensing Fees,Bank Transfer,Collection Agent South,21589643.77,26580591.48,24350606.65,19488176.65,4862430
13/06/2022,2022,6,Ministry of Education,Kusada,Court Fines and Penalties,Bank Transfer,Collection Agent South,11836169.33,13426819.6,11523193.79,11625997.24,-102803.45
11/07/2022,2022,7,Ministry of Agriculture,Katsina,PAYE Tax,Online Portal,Collection Agent South,17606480.76,20464334.52,20378861.72,15224171.24,5154690.48
11/07/2022,2022,7,State Water Board,Katsina,Road Taxes,Collection Agent,Collection Agent North,9226209.96,12399712.65,11064421.35,8007855.49,3056565.86
11/07/2022,2022,7,Ministry of Education,Katsina,Market Fees,Collection Agent,Collection Agent North,18222743.88,23427691.23,22468964.97,17281530.26,5187434.71
11/07/2022,2022,7,Ministry of Transport,Katsina,Land Use Charges,POS,IRS Team B,2381694.84,3028185.51,2445232.18,2376798.45,68433.73
11/07/2022,2022,7,Ministry of Commerce and Industry,Katsina,Business Premises Levy,Cash Office,Collection Agent South,11946008.52,14499584.51,13915760.73,11293926.44,2621834.29
11/07/2022,2022,7,Katsina State Internal Revenue Service,Katsina,Motor Vehicle Registration,Bank Transfer,IRS Team A,4049219.16,5070714.02,4974531.65,3607969.04,1366562.61
11/07/2022,2022,7,Katsina State Internal Revenue Service,Katsina,Development Levy,Online Portal,Collection Agent South,2658572.28,3499450.97,3399956.78,2272469.65,1127487.13
11/07/2022,2022,7,Ministry of Works and Housing,Katsina,Tenement Rates,Online Portal,IRS Team B,10915354.8,12950442.55,12209474.29,10531861.01,1677613.28
11/07/2022,2022,7,Ministry of Commerce and Industry,Katsina,Licensing Fees,Cash Office,Collection Agent North,18065715.12,23372449.08,19711722.96,15601332.36,4110390.6
11/07/2022,2022,7,Katsina Urban Planning Authority,Katsina,Court Fines and Penalties,Cash Office,IRS Team B,18270904.32,20173400.97,16666496.3,15853610.51,812885.79
11/07/2022,2022,7,Ministry of Lands and Survey,Daura,PAYE Tax,Cash Office,Collection Agent South,7825824.72,9675065.83,8947090.56,7619708.3,1327382.26
11/07/2022,2022,7,Katsina Urban Planning Authority,Daura,Road Taxes,Collection Agent,IRS Team B,12689731.08,15270816.02,14576045.67,11926780.82,2649264.85
11/07/2022,2022,7,Ministry of Commerce and Industry,Daura,Market Fees,Collection Agent,IRS Team A,3491359.2,4137163.33,3831473.99,3210831.27,620642.72
11/07/2022,2022,7,Katsina State Internal Revenue Service,Daura,Land Use Charges,Bank Transfer,MDA Desk Officer,13206138.48,15460465.26,14955151.2,11530465.99,3424685.21
11/07/2022,2022,7,Katsina Urban Planning Authority,Daura,Business Premises Levy,Collection Agent,MDA Desk Officer,17834627.52,23480096.66,19852710.38,16170923.37,3681787.01
11/07/2022,2022,7,Ministry of Works and Housing,Daura,Motor Vehicle Registration,Collection Agent,IRS Team B,2328384.96,2819067.21,2364758.63,2135147.04,229611.59
11/07/2022,2022,7,Ministry of Transport,Daura,Development Levy,Online Portal,MDA Desk Officer,10744278.48,11587312.93,10858788.36,9819191.77,1039596.59
11/07/2022,2022,7,Katsina Urban Planning Authority,Daura,Tenement Rates,POS,Collection Agent North,9852017.04,12569305.47,10205406.48,9580507.4,624899.08
11/07/2022,2022,7,Ministry of Education,Daura,Licensing Fees,POS,Collection Agent North,17991874.44,23444190.68,23356107.26,17966683.02,5389424.24
11/07/2022,2022,7,Ministry of Education,Daura,Court Fines and Penalties,Bank Transfer,IRS Team A,5322718.44,7175582.17,6312146.57,5274783.27,1037363.3
11/07/2022,2022,7,Ministry of Transport,Funtua,PAYE Tax,Cash Office,IRS Team A,16531578.36,22159942.43,19267605.57,14516314.92,4751290.65
11/07/2022,2022,7,Katsina State Internal Revenue Service,Funtua,Road Taxes,Cash Office,Collection Agent North,9275480.64,11036185.82,10953548.41,8569650.73,2383897.68
11/07/2022,2022,7,State Water Board,Funtua,Market Fees,POS,MDA Desk Officer,6598297.8,8664814.01,7351516.11,6334887.19,1016628.92
11/07/2022,2022,7,Ministry of Health,Funtua,Land Use Charges,POS,Collection Agent South,2515966.92,2666840.69,2503797.88,2241898.33,261899.55
11/07/2022,2022,7,State Water Board,Funtua,Business Premises Levy,Cash Office,Collection Agent North,2117622.96,2671874.89,2314818.14,2004903.73,309914.41
11/07/2022,2022,7,Katsina State Internal Revenue Service,Funtua,Motor Vehicle Registration,Online Portal,IRS Team B,16037660.88,19140030.22,18899408.13,14699220.8,4200187.33
11/07/2022,2022,7,Ministry of Commerce and Industry,Funtua,Development Levy,Collection Agent,IRS Team B,18382311.72,21133980.25,17472925.48,15627079.35,1845846.13
11/07/2022,2022,7,State Water Board,Funtua,Tenement Rates,Cash Office,Collection Agent South,3396407.76,4445581.87,4048463.81,2894943.34,1153520.47
11/07/2022,2022,7,Ministry of Commerce and Industry,Funtua,Licensing Fees,Collection Agent,IRS Team A,4165302.96,5527577.89,4777037.07,3611449.79,1165587.28
11/07/2022,2022,7,Katsina State Internal Revenue Service,Funtua,Court Fines and Penalties,Cash Office,MDA Desk Officer,3671293.68,4054492.76,3284100.04,3310497.81,-26397.77
11/07/2022,2022,7,Katsina State Internal Revenue Service,Malumfashi,PAYE Tax,Bank Transfer,IRS Team A,3207413.16,4045555.11,4044661.34,2821976.23,1222685.11
11/07/2022,2022,7,Ministry of Commerce and Industry,Malumfashi,Road Taxes,Online Portal,Collection Agent North,8805258.36,9775462.3,9698293.03,7619504.69,2078788.34
11/07/2022,2022,7,Katsina Urban Planning Authority,Malumfashi,Market Fees,Online Portal,IRS Team B,4229027.28,5391655.66,4406005.49,3726575.07,679430.42
11/07/2022,2022,7,Katsina State Internal Revenue Service,Malumfashi,Land Use Charges,Online Portal,MDA Desk Officer,1696821.48,2195036.86,2182309.04,1649085.64,533223.4
11/07/2022,2022,7,Ministry of Works and Housing,Malumfashi,Business Premises Levy,POS,MDA Desk Officer,15791890.68,20000314.67,17111163.44,13920064.34,3191099.1
11/07/2022,2022,7,State Water Board,Malumfashi,Motor Vehicle Registration,Cash Office,IRS Team B,4797585.72,6280576.94,5580509.8,4614398.81,966110.99
11/07/2022,2022,7,Ministry of Commerce and Industry,Malumfashi,Development Levy,Collection Agent,Collection Agent South,6126485.76,7879572.48,7034007.18,5980441.62,1053565.56
11/07/2022,2022,7,Ministry of Health,Malumfashi,Tenement Rates,Bank Transfer,IRS Team B,5508935.28,7097513.29,6754031.63,5233263.79,1520767.84
11/07/2022,2022,7,Ministry of Agriculture,Malumfashi,Licensing Fees,Collection Agent,MDA Desk Officer,3422079.36,4278078.51,3729968.53,3020108.85,709859.68
11/07/2022,2022,7,Katsina Urban Planning Authority,Malumfashi,Court Fines and Penalties,Online Portal,IRS Team B,11479941,14895666.13,13766419.36,10034042.2,3732377.16
11/07/2022,2022,7,Ministry of Health,Dutsin-Ma,PAYE Tax,Cash Office,IRS Team B,9941680.8,10565006.41,8892719.17,9500412.4,-607693.23
11/07/2022,2022,7,Ministry of Agriculture,Dutsin-Ma,Road Taxes,Collection Agent,IRS Team A,14659086.24,18981274.6,18062805.19,12497223,5565582.19
11/07/2022,2022,7,Ministry of Works and Housing,Dutsin-Ma,Market Fees,Online Portal,IRS Team B,16986969,22121684.12,21531055.4,16843777.16,4687278.24
11/07/2022,2022,7,Ministry of Commerce and Industry,Dutsin-Ma,Land Use Charges,Online Portal,IRS Team B,13322089.44,15576256.2,15322780.89,12719963.69,2602817.2
11/07/2022,2022,7,Ministry of Health,Dutsin-Ma,Business Premises Levy,Bank Transfer,IRS Team B,10492393.32,12648685.83,10164700.32,10401047.51,-236347.19
11/07/2022,2022,7,Katsina Urban Planning Authority,Dutsin-Ma,Motor Vehicle Registration,POS,IRS Team B,8123183.28,9623053.55,8402754.05,7341922.23,1060831.82
11/07/2022,2022,7,Katsina Urban Planning Authority,Dutsin-Ma,Development Levy,Bank Transfer,IRS Team A,4833475.2,6313940.37,5920313.95,4649293.44,1271020.51
11/07/2022,2022,7,Katsina State Internal Revenue Service,Dutsin-Ma,Tenement Rates,POS,Collection Agent South,15020573.04,20013577.29,16752571.6,12839037,3913534.6
11/07/2022,2022,7,Ministry of Works and Housing,Dutsin-Ma,Licensing Fees,Cash Office,MDA Desk Officer,12007513.44,12777142.66,12338235.75,10786776.41,1551459.34
11/07/2022,2022,7,Ministry of Agriculture,Dutsin-Ma,Court Fines and Penalties,Bank Transfer,IRS Team A,3845327.04,4541300.96,3844366.35,3582850.13,261516.22
11/07/2022,2022,7,Ministry of Health,Kankia,PAYE Tax,POS,IRS Team B,13637970,17806528.99,15364604.32,12735081.36,2629522.96
11/07/2022,2022,7,Ministry of Transport,Kankia,Road Taxes,Bank Transfer,MDA Desk Officer,11810289.24,14606191.49,14502641.12,11139380.03,3363261.09
11/07/2022,2022,7,Katsina Urban Planning Authority,Kankia,Market Fees,Online Portal,IRS Team A,2741227.92,3324814.05,2969497.76,2659321.11,310176.65
11/07/2022,2022,7,Katsina Urban Planning Authority,Kankia,Land Use Charges,POS,IRS Team B,10001628.36,11941552.57,10422163.3,9081665.85,1340497.45
11/07/2022,2022,7,Ministry of Lands and Survey,Kankia,Business Premises Levy,Cash Office,IRS Team B,14839716.24,19553484.13,16105162.78,13486107.64,2619055.14
11/07/2022,2022,7,Ministry of Health,Kankia,Motor Vehicle Registration,Cash Office,Collection Agent North,4301856,5674115.31,4548705.8,3761194.48,787511.32
11/07/2022,2022,7,Ministry of Lands and Survey,Kankia,Development Levy,Cash Office,IRS Team A,10710620.28,13554315.82,12844793.66,9106483.71,3738309.95
11/07/2022,2022,7,Ministry of Lands and Survey,Kankia,Tenement Rates,Cash Office,MDA Desk Officer,19146851.28,21922564.62,20700207.79,18963702.78,1736505.01
11/07/2022,2022,7,Katsina State Internal Revenue Service,Kankia,Licensing Fees,Cash Office,Collection Agent South,10974417.84,14391945.54,12142518.27,9819143.92,2323374.35
11/07/2022,2022,7,Katsina Urban Planning Authority,Kankia,Court Fines and Penalties,Collection Agent,IRS Team A,3391009.92,3868845.12,3738327.14,3187610.47,550716.67
11/07/2022,2022,7,Katsina Urban Planning Authority,Mani,PAYE Tax,POS,IRS Team B,16029394.56,18906571.51,15992334.9,13898900.76,2093434.14
11/07/2022,2022,7,Ministry of Agriculture,Mani,Road Taxes,Bank Transfer,Collection Agent North,5120570.52,6453113.09,5783415.79,4953742.4,829673.39
11/07/2022,2022,7,Ministry of Transport,Mani,Market Fees,Bank Transfer,MDA Desk Officer,15600978,16802643.24,13969472.71,13328857.73,640614.98
11/07/2022,2022,7,Ministry of Commerce and Industry,Mani,Land Use Charges,Collection Agent,MDA Desk Officer,15373600.2,19609285.17,17171042.75,15165763.2,2005279.55
11/07/2022,2022,7,Ministry of Education,Mani,Business Premises Levy,Online Portal,IRS Team B,17882534.16,23992582.49,23339303.2,17297151.66,6042151.54
11/07/2022,2022,7,Ministry of Works and Housing,Mani,Motor Vehicle Registration,POS,Collection Agent South,13999817.52,16267862.9,13344864.08,12763715.71,581148.37
11/07/2022,2022,7,Ministry of Lands and Survey,Mani,Development Levy,Bank Transfer,Collection Agent South,6725315.52,7732295.4,6986544.57,6443767.2,542777.37
11/07/2022,2022,7,Katsina Urban Planning Authority,Mani,Tenement Rates,Cash Office,IRS Team A,6875281.08,8632170.56,7524133.54,6517241.97,1006891.57
11/07/2022,2022,7,Ministry of Transport,Mani,Licensing Fees,POS,Collection Agent North,16271057.52,17501678.74,14461254.1,15213639.38,-752385.28
11/07/2022,2022,7,Katsina Urban Planning Authority,Mani,Court Fines and Penalties,POS,Collection Agent South,2986998.12,3695624.57,3672924.91,2645072.09,1027852.82
11/07/2022,2022,7,Ministry of Agriculture,Mashi,PAYE Tax,Collection Agent,MDA Desk Officer,13788510.12,17586605.36,14547762.72,12344525.35,2203237.37
11/07/2022,2022,7,Katsina Urban Planning Authority,Mashi,Road Taxes,Collection Agent,MDA Desk Officer,9541756.8,12508640.46,10385202.26,8605992.01,1779210.25
11/07/2022,2022,7,Katsina Urban Planning Authority,Mashi,Market Fees,Online Portal,IRS Team B,10780272.72,12882661.76,12302196.87,10522848.22,1779348.65
11/07/2022,2022,7,Ministry of Transport,Mashi,Land Use Charges,POS,Collection Agent South,14158209.24,18989761.2,18153363.84,13587774.46,4565589.38
11/07/2022,2022,7,State Water Board,Mashi,Business Premises Levy,Bank Transfer,IRS Team A,14277089.16,15425185.23,13343260.88,12997976.56,345284.32
11/07/2022,2022,7,Ministry of Agriculture,Mashi,Motor Vehicle Registration,Online Portal,Collection Agent South,10472379.84,13648242.37,12082145.91,10223220,1858925.91
11/07/2022,2022,7,State Water Board,Mashi,Development Levy,POS,Collection Agent North,1698481.44,2135155.41,1712358.46,1617242.08,95116.38
11/07/2022,2022,7,Ministry of Lands and Survey,Mashi,Tenement Rates,POS,IRS Team B,10073322,13408556.68,12928936.43,9711317.92,3217618.51
11/07/2022,2022,7,Ministry of Health,Mashi,Licensing Fees,Online Portal,IRS Team B,19162228.32,21239123.64,17013503.74,18222359.89,-1208856.15
11/07/2022,2022,7,Katsina State Internal Revenue Service,Mashi,Court Fines and Penalties,Cash Office,IRS Team A,15096988.44,16592885.76,16073993.79,13862412.38,2211581.41
11/07/2022,2022,7,Ministry of Lands and Survey,Musawa,PAYE Tax,Bank Transfer,IRS Team A,7036764.84,7903551.11,6707523.93,5986036.36,721487.57
11/07/2022,2022,7,Ministry of Commerce and Industry,Musawa,Road Taxes,Online Portal,Collection Agent North,2246719.68,2753176.65,2431789.85,2056090.37,375699.48
11/07/2022,2022,7,Ministry of Education,Musawa,Market Fees,Cash Office,MDA Desk Officer,18065049.84,19732784.58,16454370.15,17024307.97,-569937.82
11/07/2022,2022,7,Ministry of Education,Musawa,Land Use Charges,Online Portal,IRS Team B,13892874.84,17513968.32,14565295.46,13735285.93,830009.53
11/07/2022,2022,7,Katsina Urban Planning Authority,Musawa,Business Premises Levy,Bank Transfer,IRS Team B,8774886.6,11108231.69,10659622.51,8173524.31,2486098.2
11/07/2022,2022,7,Katsina Urban Planning Authority,Musawa,Motor Vehicle Registration,Online Portal,Collection Agent South,18789624,21826394.36,17804598.08,16844612.6,959985.48
11/07/2022,2022,7,Ministry of Works and Housing,Musawa,Development Levy,Bank Transfer,Collection Agent South,17671799.16,18581387.86,16023041.53,17439961.33,-1416919.8
11/07/2022,2022,7,Ministry of Agriculture,Musawa,Tenement Rates,Collection Agent,MDA Desk Officer,18865773.72,24673365.08,24665292.45,17759412.97,6905879.48
11/07/2022,2022,7,Ministry of Health,Musawa,Licensing Fees,POS,IRS Team B,5556306.24,7412300.41,6958043.76,5118397.26,1839646.5
11/07/2022,2022,7,State Water Board,Musawa,Court Fines and Penalties,Collection Agent,IRS Team B,10160813.88,11991523.84,11655207.22,8767934.89,2887272.33
11/07/2022,2022,7,Ministry of Transport,Bakori,PAYE Tax,Online Portal,IRS Team A,16771564.08,22328951.42,18550682.75,15448087.43,3102595.32
11/07/2022,2022,7,Ministry of Education,Bakori,Road Taxes,POS,IRS Team A,13462623.36,14731204.67,13681376.31,13097547.26,583829.05
11/07/2022,2022,7,Ministry of Transport,Bakori,Market Fees,POS,IRS Team B,7739397.72,8897586.29,8133935.91,7462063.32,671872.59
11/07/2022,2022,7,Ministry of Works and Housing,Bakori,Land Use Charges,Bank Transfer,Collection Agent North,10498707,11850823.65,10025153.19,9930657.09,94496.1
11/07/2022,2022,7,Ministry of Commerce and Industry,Bakori,Business Premises Levy,POS,Collection Agent South,14216810.04,16802473.41,14592467.35,12381518.4,2210948.95
11/07/2022,2022,7,Ministry of Health,Bakori,Motor Vehicle Registration,Online Portal,Collection Agent South,9237615.84,10027884.36,8330993.44,8194450.02,136543.42
11/07/2022,2022,7,Katsina State Internal Revenue Service,Bakori,Development Levy,POS,Collection Agent South,3374795.88,3975703.42,3709422.71,3277195.56,432227.15
11/07/2022,2022,7,Ministry of Lands and Survey,Bakori,Tenement Rates,Collection Agent,Collection Agent South,3680621.64,4960537.89,4041087.24,3397778.72,643308.52
11/07/2022,2022,7,Katsina Urban Planning Authority,Bakori,Licensing Fees,Bank Transfer,IRS Team B,16883361.36,20940834.26,19824999.72,15314795.08,4510204.64
11/07/2022,2022,7,Katsina State Internal Revenue Service,Bakori,Court Fines and Penalties,Collection Agent,Collection Agent North,14780759.04,19762620.03,18853663.25,12901276.79,5952386.46
11/07/2022,2022,7,Ministry of Agriculture,Charanchi,PAYE Tax,POS,IRS Team A,2387576.52,2871405.5,2793259.07,2319966.32,473292.75
11/07/2022,2022,7,Ministry of Commerce and Industry,Charanchi,Road Taxes,Cash Office,IRS Team B,19326823.56,24425428.71,19671397.59,18567390.24,1104007.35
11/07/2022,2022,7,Ministry of Works and Housing,Charanchi,Market Fees,Bank Transfer,Collection Agent North,14991201.36,17374050.84,16159924.91,14257361,1902563.91
11/07/2022,2022,7,Ministry of Lands and Survey,Charanchi,Land Use Charges,Collection Agent,IRS Team A,12402952.2,15789037.07,13133599.52,12020917.71,1112681.81
11/07/2022,2022,7,State Water Board,Charanchi,Business Premises Levy,Cash Office,MDA Desk Officer,15831362.52,21145762.07,19653539.97,14340619.3,5312920.67
11/07/2022,2022,7,Ministry of Education,Charanchi,Motor Vehicle Registration,Bank Transfer,IRS Team A,4617090.72,5590398.67,4704378.39,4398214.09,306164.3
11/07/2022,2022,7,Ministry of Works and Housing,Charanchi,Development Levy,Bank Transfer,MDA Desk Officer,3523114.44,4196704.76,3861726.27,3262818.55,598907.72
11/07/2022,2022,7,Ministry of Commerce and Industry,Charanchi,Tenement Rates,POS,IRS Team B,13997781.72,14719345.51,14228751,12619735.43,1609015.57
11/07/2022,2022,7,State Water Board,Charanchi,Licensing Fees,Cash Office,IRS Team B,10338209.28,13888737.43,13294693.23,9653220.62,3641472.61
11/07/2022,2022,7,Ministry of Agriculture,Charanchi,Court Fines and Penalties,POS,MDA Desk Officer,1849140.36,2043636.9,1928318.1,1630725.49,297592.61
11/07/2022,2022,7,Ministry of Works and Housing,Jibia,PAYE Tax,Collection Agent,IRS Team A,12695356.8,16943004.34,16835330.65,11063564.63,5771766.02
11/07/2022,2022,7,Ministry of Lands and Survey,Jibia,Road Taxes,Cash Office,Collection Agent North,18352107.36,21688990.63,19512311.79,16115510.39,3396801.4
11/07/2022,2022,7,State Water Board,Jibia,Market Fees,Collection Agent,IRS Team B,14397322.32,15717297.35,15257210.51,13386751.04,1870459.47
11/07/2022,2022,7,Ministry of Commerce and Industry,Jibia,Land Use Charges,Collection Agent,Collection Agent North,12966438.96,14164464.73,11572660.96,11744056.71,-171395.75
11/07/2022,2022,7,Ministry of Health,Jibia,Business Premises Levy,Online Portal,Collection Agent South,9040273.92,9655604.34,9255731.4,8826882.93,428848.47
11/07/2022,2022,7,State Water Board,Jibia,Motor Vehicle Registration,Collection Agent,Collection Agent South,10874802.96,13795222.64,13207724.08,10692142.6,2515581.48
11/07/2022,2022,7,Ministry of Health,Jibia,Development Levy,POS,IRS Team B,6082480.08,7800426.47,6856052.37,5713742.13,1142310.24
11/07/2022,2022,7,Ministry of Agriculture,Jibia,Tenement Rates,Cash Office,Collection Agent South,19095599.88,22530592.1,20013214.63,17703328.66,2309885.97
11/07/2022,2022,7,Ministry of Health,Jibia,Licensing Fees,Online Portal,Collection Agent South,18534659.76,24235151.21,19762481.69,16343419,3419062.69
11/07/2022,2022,7,State Water Board,Jibia,Court Fines and Penalties,POS,Collection Agent South,8810971.56,10728505.97,9015552.77,7887971.55,1127581.22
11/07/2022,2022,7,Ministry of Transport,Batsari,PAYE Tax,Cash Office,Collection Agent North,13314643.92,15803573.32,14790626.94,12900898.69,1889728.25
11/07/2022,2022,7,Ministry of Transport,Batsari,Road Taxes,Cash Office,Collection Agent North,5651493.12,7046120.13,6070831.57,5341774.22,729057.35
11/07/2022,2022,7,Ministry of Commerce and Industry,Batsari,Market Fees,Online Portal,IRS Team B,7328756.88,8454473.58,7186305.25,6678558.38,507746.87
11/07/2022,2022,7,Katsina Urban Planning Authority,Batsari,Land Use Charges,Bank Transfer,IRS Team B,2909244.6,3670638.17,3537400.83,2569628.65,967772.18
11/07/2022,2022,7,Katsina Urban Planning Authority,Batsari,Business Premises Levy,Collection Agent,IRS Team B,16845253.56,20412820.74,20322595.36,16048595.37,4273999.99
11/07/2022,2022,7,State Water Board,Batsari,Motor Vehicle Registration,Bank Transfer,MDA Desk Officer,8514243.72,11219061.07,9033082.34,8035654.63,997427.71
11/07/2022,2022,7,Ministry of Education,Batsari,Development Levy,Cash Office,IRS Team B,5581401.12,5926154.51,5030919.31,4796258.04,234661.27
11/07/2022,2022,7,Katsina State Internal Revenue Service,Batsari,Tenement Rates,Cash Office,MDA Desk Officer,5609705.76,6393933.75,5148514.93,5531015.08,-382500.15
11/07/2022,2022,7,Katsina Urban Planning Authority,Batsari,Licensing Fees,Bank Transfer,MDA Desk Officer,8786679.12,10422514.3,10216558.67,7671667.92,2544890.75
11/07/2022,2022,7,Ministry of Transport,Batsari,Court Fines and Penalties,Collection Agent,Collection Agent North,7220331.36,8751034.08,7883946.73,6187339.64,1696607.09
